"id","Cat_id","Bk_Detail_Code","Book_Title","Aurthor","Publisher","Class","Category"
"264","2","1","Beginning Agriculture","H. Mwangi, D Nyoro","Moran","Class_4","Primary"
"265","18","21","Our Lives todaySocial Studies Pupils book Bk 5","C, Kamau, M. Indire,G.Ombongi","Oxford","Class_5","Primary"
"267","1","2","Art and Craft Learners Book 4","KLB","KLB","Class_4","Primary"
"268","8","30","Kiswahili Sahili kitabu cha mwanafunzi bk 4","T. Orege, V. Ondieki, E. matoke","Access Publishers","Class_4","Primary"
"269","8","31","Mwanga wa kiswahili kitabu cha mwanafunzi","A. Vaati, S. Kerubo","Longhorn","Class_4","Primary"
"270","8","32","Umilisi wa kiswahili","J. Kobia","Longhorn","Class_4","Primary"
"271","9","38","Mathematics Leaners book 4","Obadia Kiburi, S Irumbu,Z.N. Muli&F. Mwangi","KLB","Class_4","Primary"
"272","8","33","Kiswahili Mufti Mwongozo bk 5","Wala bin Wala","Longhorn","Class_5","Primary"
"274","17","28","Primary Science Teachers Guide Book 5","KLB","KLB","Class_5","Primary"
"275","18","22","Improve your social studies teachers guide std 7","Malkiat Sign","Dhillon Publishers","Class_7","Primary"
"276","8","34","Stadi za kiswahili Kitabu Cha Mwalimu Bk 3",NULL,"Moran","Class_3","Primary"
"277","8","35","Stadi za kiswahili Kitabu Cha Mwalimu Bk 1",NULL,"Moran","Class_1","Primary"
"278","18","23","Improve your social studies teachers guide std 5","Malkiat Sign","Dhillon Publishers","Class_5","Primary"
"279","18","24","Improve your social studies teachers guide std 1","Malkiat Sign","Dhillon Publishers","Class_1","Primary"
"280","18","25","Improve your social studies teachers guide std 6","Malkiat Sign","Dhillon Publishers","Class_6","Primary"
"282","6","89","English Aid bk 5","M.S Patel","JBP","Class_5","Primary"
"285","15","24","God and Us CRE bk 4","G. Obai, C Ondieki","LongHorn","Class_4","Primary"
"286","8","36","Mazoezi na Marudion mufti ya Kiswahili","Wala bin Wala","Longhorn","Class_4","Primary"
"287","18","26","Social Studies Bk 4","JKF","JKF","Class_4","Primary"
"288","18","27","Sporlight Quick revision","T. Gichana, C. Akinyi","Sporlight","Class_2","Primary"
"289","8","37","Hatua Za kiswahili","M. Waweu, J. Mwayani","EAEP","Class_4","Primary"
"290","9","39","Understanding Mathematics Teachers Guid 2","s. Nderitu, J. Kihara","Longhorn","Class_2","Primary"
"291","6","90","Flying Colours in English Composition for Primary Schools","Solomo Musee Ngila","KLB","Class_4","Primary"
"292","8","38","Kiswahili kwa darasa la 4 Kitabu Cha mwalimu","KLB","KLB","Class_4","Primary"
"293","17","29","Understanding Science Book 4 Pupils Book","J. Karaka, L.Nyangasi, G. Kimamo","Longhorn","Class_4","Primary"
"294","8","39","Kiswahili Sanifu","S. Bahkresa, I Islam","Oxford","Class_1","Primary"
"295","8","40","Kurunzi ya Insha","F. Wangme","Sportlight","Class_4","Primary"
"296","6","91","My First Reading Book","Faith Mwisho","Mountain Top","Baby","Nursery"
"297","9","40","Visionary Mathematics","Obadia Kiburi, S Irumbu,Z.N. Muli&F. Mwangi","KLB","Class_4","Primary"
"298","18","28","Longhon Social Studies TG Bk,","F.Muraya, J. Kanjoya, G. Kadenge, M. Mwova, &P. Mungai","Longhorn","Class_4","Primary"
"299","6","92","Longhorn English TG book 4","P. Kagwe, S. Malonza, N. Wa njiku, E, Wangusi &M. Githui","Longhorn","Class_4","Primary"
"300","15","25","Growing in Christ CRE activities learners books 4","H. Onyango, L. Wachira, H. Watiki, D. Rutere","Oxford","Class_4","Primary"
"301","14","6","Targeter Series Combined Encyclopaedia for Std 4 CBC","R. Gachanja, DL. Imaoroto, et al.","Targeter","Class_4","Primary"
"302","12","2","Visionaty Phisical Education Learners Book 4","R. Kahiga,W Nyokabi,E. Sigot","KLB","Class_4","Primary"
"303","15","26","Knowing God CRE Learners Book 4","S. Kokonya and J Mungendi","One Planet","Class_4","Primary"
"304","8","41","Hazina ya Kiswahili kidato cha 3","A. Ngure, K. Kamau, H. Kimaro","Longman","Form_3","Others"
"305","11","5","Foundation Music Book 4","F. Muyela, A. Ndung'u, Bmuyonga","JKF","Class_4","Primary"
"306","7","1","Everyday Home Science","P.Njoroge and Others","Oxford","Class_4","Primary"
"307","8","42","Kiswahili Dadisi","J. Ndege and others","Oxford","Class_4","Primary"
"308","18","29","Longhon Social Studies Learners Book 4","F.Muraya, J. Kanjoya, G. Kadenge, M. Mwova, &P. Mungai","Longhorn","Class_4","Primary"
"309","2","2","MTP Agriculture learnres BK 4","MTP","MTP","Class_4","Primary"
"310","6","93","Longhorn English learners book 4","P. Kagwe, S. Malonza, N. Wa njiku, E, Wangusi &M. Githui","Longhorn","Class_4","Primary"
"311","1","3","Art and Craft teachers Guide Book 4","Elizabeth Kiama, Okemba Lore, Margaret Atieno,Gerald Motondi","KLB","Class_4","Primary"
"312","9","41","Mathematics pupils book 1","Ministry of Education","GoK","Class_1","Primary"
"313","9","42","Mathematics pupils book 2","Ministry of Education","GoK","Class_2","Primary"
"314","9","43","Mathematics Teacher's Guide Book 1","Ministry of Education","GoK","Class_1","Primary"
"315","9","44","Mathematics Teacher's Guide Book 2","Ministry of Education","GoK","Class_2","Primary"
