"id","DoE","Expenditure_name","Voteline","FundSource","PV_No","Amount"
"453","2021-03-08","Door Repair KBK & Bearings","10","Transport","0","600.00"
"454","2021-03-08","Salary Payment to cook Vivian Achieng'","1","Tution","0","1290.00"
"455","2021-03-09","Salt","6","Lunch","0","80.00"
"456","2021-03-09","Preassure KBK & KBG","10","Transport","0","80.00"
"458","2021-03-09","Sugar 1 Bale","6","Lunch","0","1320.00"
"460","2021-03-09","Transport to Town","10","Transport","0","200.00"
"461","2021-03-09","Insurance KBZ","10","Transport","0","7500.00"
"462","2021-03-09","Insurance KBW","4","Tution","0","7500.00"
"463","2021-03-10","Full payment of 1 door and deposit for 2 windows","8","Tution","0","12000.00"
"464","2021-03-12","Blocks for construction","8","Tution","0","11400.00"
"466","2021-03-12","Transport for blocks","8","Tution","0","2500.00"
"467","2021-03-14","Payments for  masson and helper","8","Tution","0","1400.00"
"468","2021-03-13","Payments for  masson and helper","8","Tution","0","1400.00"
"469","2021-03-14","Cooking oil and tomatoes","6","Lunch","0","1530.00"
"470","2021-03-14","Fuel for week 11","10","Transport","0","8800.00"
"471","2021-03-14","Medication for Manager","4","Tution","0","5200.00"
"472","2021-03-18","KBK Hire","10","Transport","0","17000.00"
"473","2021-03-18","Welding of window- final payment of 2 and deposit of 3","8","Tution","0","9000.00"
"474","2021-03-19","KBG and KBZ repairs","10","Transport","0","23000.00"
"475","2021-03-19","KBZ fuel. Drivers allowance, washing KBG","10","Transport","0","1200.00"
"476","2021-03-19","KBG and KBZ repairs","10","Transport","0","10000.00"
"477","2021-03-19","KBG and KBZ repairs","10","Transport","0","8000.00"
"478","2021-03-20","Milk","6","Lunch","0","600.00"
"480","2021-03-20","Bicycle repair","4","Tution","0","1500.00"
"481","2021-03-20","KBG and KBZ repairs","10","Transport","0","6500.00"
"482","2021-03-21","Construction of walls -labor and cement","8","Tution","0","2800.00"
"483","2021-03-22","New_Van - Allowance or the Manager to Nairobi","10","Loan","0","5000.00"
"484","2021-03-19","New_Van - Flight of the Manager to Nairobi","10","Loan","0","7000.00"
"485","2021-03-15","New_Van - Commission to mechanic","10","Loan","0","3500.00"
"486","2021-03-22","Grains For term 3","6","Lunch","0","10650.00"
"487","2021-03-24","New Van NTSA search and Lawyer","10","Loan","0","2000.00"
"488","2021-03-24","NTSA confirmation","4","Tution","0","15000.00"
"489","2021-03-24","Cement","8","Tution","0","700.00"
"490","2021-03-24","Cement and Choka forconstruction","8","Tution","0","9900.00"
"491","2021-03-24","New_Van - Insuarance","10","Loan","0","10000.00"
"492","2021-03-24","Purchase of KBJ565G","10","Loan","0","750000.00"
"493","2021-03-24","Construction of walls -labor  and helper","8","Tution","0","1400.00"
"494","2021-03-25","Manager - Shopping Allowance while n Nairobi","4","Loan","0","5000.00"
"495","2021-03-25","New_Van - Repair and service","10","Loan","0","32000.00"
"496","2021-03-10","Kusiaga","6","Lunch","0","110.00"
"497","2021-03-11","Vegetables , Waru & Cabbage","6","Lunch","0","800.00"
"498","2021-03-11","Fuel KBW","10","Transport","0","1000.00"
"499","2021-03-11","Bundles modem","14","Tution","0","1000.00"
"500","2021-03-11","Printing papers","16","BookLvy","0","760.00"
"501","2021-03-12","Van / Car Wash KBG & KBK","10","Transport","0","200.00"
"502","2021-03-12","Payment to the New driver who replaced Luke","10","Transport","0","600.00"
"503","2021-03-12","Advance Salary to Tr. Nick","1","Tution","0","200.00"
"504","2021-03-12","Photocopying Services","11","Exam","0","80.00"
"505","2021-03-15","Kusiaga","6","Lunch","0","50.00"
"506","2021-03-16","Kusiaga","6","Lunch","0","30.00"
"507","2021-03-16","Printer Repair","16","Tution","0","250.00"
"508","2021-03-17","Kusiaga","6","Lunch","0","50.00"
"509","2021-03-17","Pressure KBK","10","Transport","0","40.00"
"510","2021-03-17","Repair KBW (Throtal) & cleaning","10","Transport","0","500.00"
"511","2021-03-17","Advance Salary to Peninah Mayabi","1","Transport","0","500.00"
"512","2021-03-18","Van / Car Wash KBG & KBK & ropes to tie the door (KBK)","10","Transport","0","260.00"
"513","2021-03-18","Salary Advance to Maurice Ouma","1","Tution","0","1000.00"
"514","2021-03-22","2 Sodas & Biscuits for auditor & H/T","6","Lunch","0","120.00"
"515","2021-03-22","Vegetables","6","Lunch","0","600.00"
"516","2021-03-23","Fare to Town -sec to sent cheque bk to the Manager","10","Transport","0","100.00"
"517","2021-03-23","A4 Envelope to package the cheque book","16","BookLvy","0","10.00"
"518","2021-03-26","Construction of walls -labor and helper","8","Tution","0","1400.00"
"519","2021-03-25","Construction of Windows -labor and helper","8","Tution","0","1400.00"
"520","2021-03-25","New_Van - Fuel and payment of the mechanic","8","Tution","0","25000.00"
"521","2021-03-28","Construction of walls -labor  and helper","8","Tution","0","1428.00"
"522","2021-03-28","Medication for Manager","4","Tution","0","10000.00"
"523","2021-03-29","KBG window glass repairs","10","Transport","0","1000.00"
"525","2021-03-29","KBJ floor and Seat Fixing","10","Loan","0","16500.00"
"526","2021-03-31","Salaries","1","Tution","0","126933.00"
"527","2021-03-31","NHIF for March 2021","1","Tution","0","5050.00"
"528","2021-03-31","Security","1","Tution","0","6500.00"
"529","2021-03-31","water and Electricity Bills","14","Tution","0","5000.00"
"530","2021-04-30","Security","1","Tution","0","6500.00"
"531","2021-04-30","Bills for water and Electricity","14","Tution","0","5000.00"
"532","2021-04-30","Payments for steel windows","8","Tution","0","4000.00"
"533","2021-04-30","Payment for Auditor (Including prior payments made)","12","Tution","0","5000.00"
"536","2021-05-15","New tyres for KBG and KBZ","10","Transport","8","17000.00"
"538","2021-05-10","Printing papers","14","Tution","2","400.00"
"539","2021-05-10","Tyre Repair & Pressure","10","Transport","5","300.00"
"540","2021-05-08","Fuel KBZ, KBG, & KBJ 150 Ltrs","10","Transport","7","18500.00"
"541","2021-05-10","Printing papers","16","Tution","2","400.00"
"542","2021-05-10","pens 2boxes","16","Tution","2","120.00"
"543","2021-05-10","Clarity Ink","16","Tution","2","450.00"
"544","2021-05-10","Receipt books","16","Tution","2","2000.00"
"545","2021-05-10","Pencils 5 packets","16","Tution","2","200.00"
"546","2021-05-10","Sanitizer","16","Tution","2","1800.00"
"547","2021-05-10","Chalks","16","Tution","2","490.00"
"548","2021-05-10","Exercise Books","16","BookLvy","2","2545.00"
"549","2021-05-10","Sugar 1 Bale (20Kgs)","6","Lunch","2","2000.00"
"550","2021-05-10","Cooking Oil 20Ltrs","6","Lunch","2","3600.00"
"551","2021-05-10","Road Repair","10","Transport","2","4800.00"
"552","2021-05-10","Salt 2kg","6","Lunch","2","70.00"
"553","2021-05-10","Panadol 2boxes - small","16","Tution","2","200.00"
"554","2021-05-10","Cotton Wool-1","16","Tution","2","100.00"
"555","2021-05-10","Spirit - 500ml - 1","16","Tution","2","150.00"
"556","2021-05-10","Bundles modem","16","Tution","2","1000.00"
"557","2021-05-10","Milk 4 boxes","6","Lunch","2","2120.00"
"558","2021-05-10","Transaction","16","Tution","5","205.00"
"559","2021-05-11","NHIF For staffs April 2021","1","Tution","1","4200.00"
"560","2021-05-12","Liquid soap - 5Lrts","5","Lunch","11","300.00"
"561","2021-05-12","Buying Maize 3 Tins & Grinding","6","Lunch","11","330.00"
"562","2021-05-12","Pressure - KBJ","10","Transport","11","40.00"
"563","2021-05-12","Vegetables","6","Lunch","11","250.00"
"564","2021-05-12","Advance Salary to H/T Mr. Owino","1","Tution","11","1000.00"
"565","2021-05-12","Fare - Manager","10","Transport","11","100.00"
"566","2021-05-12","Firewood","6","Lunch","6","6000.00"
"567","2021-05-12","Rice 20 Tins","6","Lunch","6","4000.00"
"568","2021-05-12","Mask - 2 boxes","16","Tution","6","1000.00"
"569","2021-05-12","Maize 50 Tins","6","Lunch","6","4500.00"
"570","2021-05-12","Sanitizer sprayer cans","16","Tution","6","750.00"
"571","2021-05-12","Transport & Puncture Repair","10","Transport","6","500.00"
"572","2021-05-12","Transaction","16","Tution","6","105.00"
"573","2021-05-12","Lunch - Manager","6","Lunch","6","150.00"
"575","2021-05-17","Fuel for 2weeks 120lrts","10","Transport","9","13290.00"
"576","2021-05-17","Steel window","8","Tution","13","10000.00"
"578","2021-05-17","Advance Salary to Driver Maurice Ouma","1","Tution","10","500.00"
"579","2021-05-17","Transport for pucture repair KBG","10","Transport","10","160.00"
"580","2021-05-17","Kusiaga","6","Lunch","10","50.00"
"581","2021-05-17","Soap","5","Lunch","10","20.00"
"582","2021-05-17","Steel wire","5","Lunch","10","20.00"
"583","2021-05-17","1 Bar soap","1","Lunch","10","120.00"
"584","2021-05-17","Kusiaga","6","Lunch","10","110.00"
"585","2021-05-17","Wiring KBZ","10","Transport","10","1300.00"
"586","2021-05-18","Airtime - Airtel for the school fon","14","Tution","10","200.00"
"587","2021-05-18","Tomatoes & Onions","6","Lunch","10","600.00"
"588","2021-05-17","Salary Advance to Luke","1","Tution","10","1500.00"
"589","2021-05-20","puncture KBG - Evance","10","Transport","10","400.00"
"590","2021-05-20","Single Business Permit-1","12","Tution","14","20050.00"
"591","2021-05-20","Single Business Permit-2","12","Tution","14","7500.00"
"592","2021-05-20","Single Business Permit-3","12","Tution","14","500.00"
"593","2021-05-20","Single Business Permit- Transfer cost","12","Tution","14","210.00"
"595","2021-05-21","KBG nozzles new ones and replacement","10","Transport","19","7500.00"
"597","2021-05-25","Fuel for week 3","10","Transport","23","13290.00"
"599","2021-05-25","KBG Clutch Kit lower","10","Transport","26","500.00"
"600","2021-05-25","KBG Clutch Kit Upper","10","Transport","26","1000.00"
"602","2021-05-25","KBG Brake lining","10","Transport","26","1000.00"
"603","2021-05-25","KBG break fluid","10","Transport","26","300.00"
"604","2021-05-25","KBG break nipple","10","Transport","26","200.00"
"605","2021-05-25","KBG Brake and Clutch Labour","10","Transport","26","1500.00"
"606","2021-05-25","KBG Lighting System","10","Transport","26","1000.00"
"607","2021-05-26","Salary Advance -Evans Anditi","1","Tution","27","600.00"
"608","2021-05-25","Salaries for April","1","Tution","21","28191.00"
"611","2021-05-21","Salary Advance - Evans Owino","1","Tution","18","1500.00"
"613","2021-05-23","Nozzles KBG","10","Transport","20","6000.00"
"614","2021-05-22","UFN-CBO Loan","17","Tution","25","6000.00"
"615","2021-05-22","Purchase for pullovers","16","Uniform","25","5000.00"
"616","2021-05-22","1 box of bar soap","5","Lunch","25","1200.00"
"617","2021-05-22","Tomatoes and Onions","6","Lunch","25","600.00"
"618","2021-05-22","Transaction Cost","4","Tution","25","196.00"
"620","2021-05-18","T.4 Fluid AutomaticTransmission Fluid","10","Uniform","15","900.00"
"621","2021-05-21","Waru & Cabbage, Tomatoes","6","Lunch","16","360.00"
"622","2021-05-21","Puncture Repair","10","Transport","16","100.00"
"623","2021-05-21","Printer Repair & Fare","14","Tution","16","300.00"
"624","2021-05-21","Car / Van Wash KBG & KBK","10","Transport","16","300.00"
"625","2021-05-24","Break Fluid & Clutch and Transport","10","Transport","16","450.00"
"626","2021-05-24","Kusiaga 5 Tins, Vegetables","6","Lunch","16","650.00"
"627","2021-05-24","Salary Balance for the month of March- Philis","1","Tution","16","1600.00"
"628","2021-05-24","H/T Evans fare to Obwolo","10","Transport","16","100.00"
"633","2021-05-26","Photocopying Services Exam Grade 3","11","Exam","16","370.00"
"634","2021-05-26","Cutting of a nut and Break fluid","10","Transport","16","400.00"
"638","2021-05-24","Waru & Cabbage & tomatoes","6","Lunch","16","300.00"
"639","2021-05-26","Kusiaga","6","Lunch","16","60.00"
"648","2021-05-28","Stearing  wheel for KBG","10","Transport","31","400.00"
"665","2021-06-08","Airtime - To communicate to parents about school fees","4","Tution","31","50.00"
"667","2021-05-31","Fuel for week 5","10","Transport","32","13780.00"
"668","2021-06-08","Salaries for May 2021","1","Tution","37","95825.00"
"669","2021-06-13","fuel for week 6,","10","Transport","40","3838.00"
"670","2021-06-13","KBG and  KBJ service and repair","10","Transport","40","10000.00"
"671","2021-06-13","KBZ carwash","10","Transport","40","120.00"
"672","2021-06-10","Fuel for week 5","10","Transport","39","6840.00"
"673","2021-06-10","Fuel for week 6","10","Transport","39","13160.00"
"677","2021-06-10","Audit fee","12","Tution","34","7000.00"
"684","2021-05-27","Welding  boot  - KBG","7","Transport","28","150.00"
"685","2021-05-27","Waru","6","Lunch","28","200.00"
"686","2021-05-27","Cabbage","6","Lunch","28","160.00"
"687","2021-05-27","Steel wire","6","Lunch","28","40.00"
"688","2021-05-27","Payment of new cook-Maureen","6","Lunch","28","200.00"
"689","2021-05-27","Vegetables","6","Lunch","28","600.00"
"690","2021-05-28","Mechanic  Vincent - Transport","10","Transport","28","150.00"
"691","2021-05-27","Un-blocking the drainage","5","Tution","28","300.00"
"692","2021-05-31","CBC Training  Fee","4","Tution","28","3000.00"
"693","2021-05-31","Kusiaga & Salt","6","Lunch","28","70.00"
"694","2021-05-31","Debt paid for puncture repair","10","Transport","33","500.00"
"695","2021-05-31","Car / Van Wash KBG, KBZ & KBK","10","Transport","33","300.00"
"696","2021-05-31","Fare to Obwolo for CBC Training","10","Transport","33","1000.00"
"697","2021-06-02","Kusiaga","6","Lunch","33","50.00"
"698","2021-06-02","Vegetables","6","Lunch","33","600.00"
"699","2021-06-02","Bought a bolt","10","Transport","33","200.00"
"700","2021-06-08","Car / Van Wash KBG & KBJ","10","Transport","33","200.00"
"701","2021-06-08","Bought Maize 3 tins","6","Lunch","33","300.00"
"702","2021-06-08","Grinding - 3 Tins","6","Lunch","33","30.00"
"703","2021-06-08","Onions","6","Lunch","33","20.00"
"704","2021-06-08","Road Maintenance","10","Transport","33","500.00"
"705","2021-06-08","Liquid soap - 5 Ltrs","5","Lunch","33","300.00"
"706","2021-06-08","New cook - Maureen Replacee","6","Lunch","33","200.00"
"707","2021-06-08","Pressure KBG","10","Transport","33","40.00"
"708","2021-06-08","Airtime - To remind parents about school fees","4","Tution","33","50.00"
"709","2021-06-09","Buying Maize 5 Tins & Grinding","6","Lunch","33","550.00"
"710","2021-06-09","Tomatoes & Onions","6","Lunch","28","200.00"
"711","2021-06-15","clutch cylinder upper","10","Transport","42","2800.00"
"712","2021-06-15","Break fliud and power stearing fliud","10","Transport","42","450.00"
"713","2021-06-15","Mechanic Labour","10","Transport","42","3500.00"
"714","2021-06-15","puncture","10","Transport","42","700.00"
"715","2021-06-15","Advance salary to Evans Ochieng","1","Tution","42","2000.00"
"716","2021-06-15","KBG Gear box","10","CapitalInjection","43","29000.00"
"717","2021-06-15","Salary Advance- mourice-1000 and Anditi -2000","1","Tution","43","3000.00"
"718","2021-06-16","advance for Moses","1","Tution","42","550.00"
"719","2021-06-16","Advance to moses","1","Tution","43","1450.00"
"720","2021-06-10","Bought Maize 4tins","6","Lunch","41","400.00"
"721","2021-06-11","School  fon Airtime - Airtel","4","Tution","41","100.00"
"722","2021-06-11","Tomatoes","6","Lunch","41","40.00"
"723","2021-06-11","Diesel 10 lrts - KBJ","10","Transport","41","1075.00"
"724","2021-06-11","Transport  to bring fuel (KBJ)","10","Transport","41","150.00"
"725","2021-06-11","Bought Fuel KBG","10","Transport","41","500.00"
"726","2021-06-11","Van / Car Wash KBG & KBJ","10","Transport","41","200.00"
"727","2021-06-11","Transport  to bring key from Research","10","Transport","41","100.00"
"728","2021-06-14","Bought Maize 17 Tins","6","Lunch","41","1500.00"
"729","2021-06-16","4 padlocks","9","Tution","45","1030.00"
"730","2021-06-16","Cryons  1 dz","16","Tution","45","250.00"
"731","2021-06-16","Pencils","16","Tution","45","550.00"
"732","2021-06-16","petty cash, ex books, attendance register","16","Tution","45","3138.00"
"733","2021-06-16","knife and brooms","6","Lunch","45","325.00"
"734","2021-06-16","3 boxes of pens, masking tape, manila, celotape bib,","16","Tution","45","1600.00"
"735","2021-06-16","Fuel,(1000) tyre repair(500), shock(1200), clutch plate(1000)","10","Transport","45","3730.00"
"736","2021-06-17","Marram for the road","10","Transport","45","5000.00"
"737","2021-06-14","Bought Maize 33 Tins","6","Lunch","44","3000.00"
"738","2021-06-14","Kusiaga","6","Lunch","44","50.00"
"739","2021-06-14","Driver Morris - Transport to bring Fuel from Mamboleo","10","Transport","44","150.00"
"740","2021-06-15","Kusiaga","6","Lunch","44","60.00"
"742","2021-06-16","Pressure - KBJ","10","Lunch","44","40.00"
"743","2021-06-16","Services offered -  cooking","6","Lunch","44","200.00"
"744","2021-06-17","Road Maintenance - Driver Mourice and Driver Evans","10","Transport","44","400.00"
"746","2021-06-17","Waru & Cabbage","6","Lunch","44","360.00"
"747","2021-06-17","Vegetables","6","Loan","44","600.00"
"748","2021-06-17","Printing Adm forms (20) and leave forms (10)","4","BookLvy","44","150.00"
"749","2021-06-18","Salt & Onions","6","Lunch","44","50.00"
"750","2021-06-18","Masks","5","Tution","45","530.00"
"751","2021-06-09","Onions","6","Lunch","33","200.00"
"752","2021-06-18","Firewood  in PV 39","6","Lunch","45","3870.00"
"753","2021-06-18","Firewood in PV 39","6","Lunch","43","2000.00"
"754","2021-06-09","Tomatoes","6","Lunch","41","300.00"
"755","2021-06-10","Waru","6","Lunch","41","200.00"
"756","2021-06-10","Cabbage","6","Lunch","41","160.00"
"757","2021-06-10","Vegetables","6","Lunch","41","300.00"
"758","2021-06-19","Maroon uniform material","16","Uniform","47","990.00"
"759","2021-06-19","Cement (4)","8","Tution","47","2600.00"
"760","2021-06-19","Chalks..textbooks.. spirit..shapenners","14","Tution","47","670.00"
"761","2021-06-19","Tea..sugar..salt..tomatoes..beans..millet","6","Lunch","47","7725.00"
"762","2021-06-19","Mason an helpers","8","Tution","47","2800.00"
"763","2021-06-19","Maroon Uniform materials","16","Uniform","47","990.00"
"764","2021-06-19","Cement","8","Tution","47","2600.00"
"765","2021-06-19","Assorted stationaries","16","Tution","47","670.00"
"766","2021-06-25","Fuel for the week","10","Transport","51","9630.00"
"767","2021-06-26","Cement","8","Tution","52","650.00"
"768","2021-06-26","Payment to the Fundis","8","Tution","52","1400.00"
